datum,ID,zamestnanec,pocet_transakci,transakce_za_hod,SOS_sec,AGC,smena_zacatek,smena_konec,trvani_hodin,log_transakce_za_hod,log_agc,anomalie,skore,duvod
2025-02-07,467,#9,10.0,1.4285714285714286,10.0,83.74,2025-02-07 16:00:00,2025-02-07 23:00:00,7.0,0.8873031950009028,4.439587745198413,True,-0.11948271754952511,"log_agc, log_transakce_za_hod"
2025-12-20,4155,#27,15.0,1.875,56.0,100.84,2025-12-20 14:00:00,2025-12-20 22:00:00,8.0,1.0560526742493137,4.623402954249151,True,-0.10179122305997745,SOS_sec
2025-11-15,3764,#25,16.0,2.0,75.0,225.13,2025-11-15 06:00:00,2025-11-15 14:00:00,8.0,1.0986122886681096,5.421110055134903,True,-0.09734974948281172,SOS_sec
2025-04-16,1313,#29,10.0,3.333333333333333,14.0,66.15,2025-04-16 03:00:00,2025-04-16 06:00:00,3.0,1.4663370687934272,4.206928922969246,True,-0.08438173087248335,log_agc
2025-07-20,2454,#14,15.0,3.75,60.0,272.46,2025-07-20 10:00:00,2025-07-20 14:00:00,4.0,1.55814461804655,5.611155358880936,True,-0.07317020503687632,SOS_sec
2025-07-07,2303,#22,15.0,1.6666666666666667,23.0,68.91,2025-07-07 14:00:00,2025-07-07 23:00:00,9.0,0.9808292530117262,4.247208700523894,True,-0.07243985086668658,log_agc
2025-08-12,2715,#14,28.0,4.666666666666667,66.0,261.76,2025-08-12 16:00:00,2025-08-12 22:00:00,6.0,1.7346010553881064,5.571241068024272,True,-0.07101427358921653,SOS_sec
2025-04-28,1458,#2,11.0,1.375,19.0,92.26,2025-04-28 06:00:00,2025-04-28 14:00:00,8.0,0.8649974374866045,4.535391291380175,True,-0.06324661414354205,"log_transakce_za_hod, log_agc"
2025-03-24,1027,#3,13.0,1.625,34.0,310.31,2025-03-24 15:00:00,2025-03-24 23:00:00,8.0,0.965080896043587,5.740789200285297,True,-0.05927265932519654,log_agc
2025-10-19,3457,#17,11.0,1.5714285714285714,29.0,78.12,2025-10-19 08:00:00,2025-10-19 15:00:00,7.0,0.9444616088408514,4.370965687314457,True,-0.057793007416251596,log_agc
2025-07-14,2384,#22,18.0,2.0,23.0,68.15,2025-07-14 14:00:00,2025-07-14 23:00:00,9.0,1.0986122886681096,4.236278058110767,True,-0.05711046323062674,log_agc
2025-05-12,1641,#3,10.0,2.5,20.0,68.46,2025-05-12 03:00:00,2025-05-12 07:00:00,4.0,1.252762968495368,4.240751047315928,True,-0.05435976796242248,log_agc
2025-12-31,4276,#25,39.0,19.5,46.0,214.69,2025-12-31 22:00:00,2026-01-01 00:00:00,2.0,3.0204248861443626,5.3738421916342825,True,-0.04809200267807512,log_transakce_za_hod
2025-11-16,3776,#7,17.0,8.5,13.0,99.35,2025-11-16 22:00:00,2025-11-17 00:00:00,2.0,2.2512917986064958,4.608664075242347,True,-0.04590506619248591,"SOS_sec, log_agc"
2025-12-05,3984,#22,11.0,1.5714285714285714,33.0,88.66,2025-12-05 15:00:00,2025-12-05 22:00:00,7.0,0.9444616088408514,4.496024738727294,True,-0.044725326023615675,"log_agc, log_transakce_za_hod"
2025-12-12,4062,#23,40.0,13.333333333333334,28.0,264.53,2025-12-12 21:00:00,2025-12-13 00:00:00,3.0,2.662587827025453,5.581727828648895,True,-0.04449893618186074,"log_agc, log_transakce_za_hod"
2025-12-25,4208,#4,90.0,12.857142857142858,47.0,229.72,2025-12-25 15:00:00,2025-12-25 22:00:00,7.0,2.6288008294480694,5.4412048540965845,True,-0.039570303033516385,"log_transakce_za_hod, SOS_sec"
2025-12-24,4197,#4,86.0,12.285714285714286,45.0,246.5,2025-12-24 15:00:00,2025-12-24 22:00:00,7.0,2.586689344097943,5.511410582008745,True,-0.03614019462208484,"log_transakce_za_hod, log_agc"
2025-12-16,4106,#20,37.0,6.166666666666667,59.0,243.93,2025-12-16 16:00:00,2025-12-16 22:00:00,6.0,1.9694406464655076,5.50097245543491,True,-0.033229738939763,SOS_sec
2025-08-07,2665,#22,11.0,1.2222222222222223,28.0,100.12,2025-08-07 06:00:00,2025-08-07 15:00:00,9.0,0.7985076962177716,4.616307930398548,True,-0.03017754445876053,"log_transakce_za_hod, log_agc"
2025-05-08,1583,#11,10.0,2.0,23.0,79.19,2025-05-08 15:00:00,2025-05-08 20:00:00,5.0,1.0986122886681096,4.384398818818937,True,-0.02982326122993717,log_agc
2025-07-20,2457,#29,11.0,3.6666666666666665,15.0,89.19,2025-07-20 03:00:00,2025-07-20 06:00:00,3.0,1.5404450409471488,4.501918556177617,True,-0.02606943474991319,"log_agc, SOS_sec"
2025-11-08,3686,#6,21.0,2.625,54.0,221.11,2025-11-08 07:00:00,2025-11-08 15:00:00,8.0,1.2878542883066382,5.403172754650417,True,-0.02474467130081781,"SOS_sec, log_transakce_za_hod"
2025-04-22,1385,#2,13.0,13.0,25.0,104.63,2025-04-22 23:00:00,2025-04-23 00:00:00,1.0,2.639057329615259,4.659942421835071,True,-0.023580039486452042,"log_transakce_za_hod, log_agc"
2025-11-29,3918,#23,81.0,13.5,26.0,226.49,2025-11-29 00:00:00,2025-11-29 06:00:00,6.0,2.6741486494265287,5.427106281380954,True,-0.017650665670431165,"log_transakce_za_hod, log_agc"
2025-08-09,2684,#10,23.0,5.75,60.0,220.27,2025-08-09 03:00:00,2025-08-09 07:00:00,4.0,1.9095425048844383,5.39938367528284,True,-0.013639351160597668,SOS_sec
2025-07-12,2360,#15,30.0,4.285714285714286,53.0,256.9,2025-07-12 15:00:00,2025-07-12 22:00:00,7.0,1.6650077635889111,5.552571912887299,True,-0.011867042622381141,"SOS_sec, log_agc"
2025-09-22,3159,#25,19.0,4.75,26.0,618.44,2025-09-22 00:00:00,2025-09-22 04:00:00,4.0,1.749199854809259,6.428815844078469,True,-0.011126981075145648,log_agc
2025-04-24,1409,#25,14.0,1.5555555555555556,19.0,110.35,2025-04-24 06:00:00,2025-04-24 15:00:00,9.0,0.9382696385929304,4.712678393703377,True,-0.01089896350784314,"log_transakce_za_hod, log_agc"
2025-10-12,3377,#25,14.0,1.4,20.0,168.7,2025-10-12 06:00:00,2025-10-12 16:00:00,10.0,0.8754687373538999,5.134032172240181,True,-0.009984308980216072,"log_transakce_za_hod, SOS_sec"
2025-11-07,3671,#12,33.0,6.6,61.0,184.6,2025-11-07 16:00:00,2025-11-07 21:00:00,5.0,2.028148247292285,5.2235938203521,True,-0.007932292398049712,SOS_sec
2025-08-06,2652,#15,30.0,4.285714285714286,42.0,377.41,2025-08-06 08:00:00,2025-08-06 15:00:00,7.0,1.6650077635889111,5.9359782638898455,True,-0.007800277909472242,log_agc
2025-06-08,1964,#20,35.0,5.0,50.0,109.01,2025-06-08 15:00:00,2025-06-08 22:00:00,7.0,1.791759469228055,4.700571270751344,True,-0.007026416473211339,"SOS_sec, log_agc"
2025-06-09,1975,#20,41.0,5.857142857142857,62.0,199.24,2025-06-09 15:00:00,2025-06-09 22:00:00,7.0,1.9252908618525777,5.299516647123519,True,-0.004885110576458351,SOS_sec
2025-08-01,2592,#23,14.0,3.5,55.0,228.01,2025-08-01 04:00:00,2025-08-01 08:00:00,4.0,1.5040773967762742,5.433765670723085,True,-0.004497394867789106,"SOS_sec, log_agc"
2025-01-01,6,#7,34.0,17.0,22.0,157.05,2025-01-01 22:00:00,2025-01-02 00:00:00,2.0,2.8903717578961645,5.062911438661627,True,-0.004442521656851661,log_transakce_za_hod
2025-03-28,1080,#6,10.0,1.4285714285714286,34.0,119.21,2025-03-28 16:00:00,2025-03-28 23:00:00,7.0,0.8873031950009028,4.7892402133161625,True,-0.003839182175852218,"log_transakce_za_hod, log_agc"
2025-10-25,3525,#22,29.0,7.25,50.0,257.42,2025-10-25 00:00:00,2025-10-25 04:00:00,4.0,2.110213200346589,5.554586168294074,True,-0.00329279995130749,"SOS_sec, log_agc"
2025-06-15,2051,#6,10.0,1.6666666666666667,38.0,237.42,2025-06-15 07:00:00,2025-06-15 13:00:00,6.0,0.9808292530117262,5.474033824289855,True,-0.0027666911101510427,"log_transakce_za_hod, log_agc"
2025-07-20,2458,#3,22.0,11.0,22.0,107.99,2025-07-20 22:00:00,2025-07-21 00:00:00,2.0,2.4849066497880004,4.69125613490122,True,-0.0018248731362280335,"log_transakce_za_hod, log_agc"
2025-03-09,840,#11,18.0,2.571428571428572,44.0,250.76,2025-03-09 14:00:00,2025-03-09 21:00:00,7.0,1.2729656758128876,5.528476252756152,True,-0.00011885526809696234,"log_agc, log_transakce_za_hod"
