datum,ID,zamestnanec,pocet_transakci,transakce_za_hod,SOS_sec,AGC,smena_zacatek,smena_konec,trvani_hodin
2025-01-01,7,BOLT  BOLT,43.0,1.7916666666666667,503.0,458.37,2025-01-01,2025-01-02,24.0
2025-01-01,10,KIOSKAPI1  API,887.0,36.958333333333336,17.0,329.68,2025-01-01,2025-01-02,24.0
2025-01-01,12,WOLT  WOLT,68.0,2.8333333333333335,437.0,434.13,2025-01-01,2025-01-02,24.0
2025-01-02,21,DELIVERY_HERO  DELIVERY,17.0,0.7083333333333334,325.0,433.98,2025-01-02,2025-01-03,24.0
2025-01-02,23,KIOSKAPI1  API,651.0,27.125,15.0,304.26,2025-01-02,2025-01-03,24.0
2025-01-02,25,WOLT  WOLT,32.0,1.3333333333333333,486.0,414.43,2025-01-02,2025-01-03,24.0
2025-01-03,35,KIOSKAPI1  API,542.0,22.583333333333332,11.0,284.98,2025-01-03,2025-01-04,24.0
2025-01-03,37,WOLT  WOLT,32.0,1.3333333333333333,600.0,444.78,2025-01-03,2025-01-04,24.0
2025-01-04,47,KIOSKAPI1  API,502.0,20.916666666666668,13.0,278.24,2025-01-04,2025-01-05,24.0
2025-01-04,49,WOLT  WOLT,31.0,1.2916666666666667,474.0,357.46,2025-01-04,2025-01-05,24.0
2025-01-05,60,KIOSKAPI1  API,409.0,17.041666666666668,17.0,286.69,2025-01-05,2025-01-06,24.0
2025-01-05,62,WOLT  WOLT,28.0,1.1666666666666667,189.0,438.36,2025-01-05,2025-01-06,24.0
2025-01-06,71,KIOSKAPI1  API,344.0,14.333333333333334,14.0,252.92,2025-01-06,2025-01-07,24.0
2025-01-06,73,WOLT  WOLT,26.0,1.0833333333333333,259.0,403.26,2025-01-06,2025-01-07,24.0
2025-01-07,83,KIOSKAPI1  API,342.0,14.25,18.0,241.47,2025-01-07,2025-01-08,24.0
2025-01-07,85,WOLT  WOLT,35.0,1.4583333333333333,273.0,311.28,2025-01-07,2025-01-08,24.0
2025-01-08,95,KIOSKAPI1  API,399.0,16.625,9.0,258.18,2025-01-08,2025-01-09,24.0
2025-01-08,97,WOLT  WOLT,51.0,2.125,456.0,357.58,2025-01-08,2025-01-09,24.0
2025-01-09,107,KIOSKAPI1  API,427.0,17.791666666666668,42.0,240.83,2025-01-09,2025-01-10,24.0
2025-01-09,109,WOLT  WOLT,46.0,1.9166666666666667,321.0,395.87,2025-01-09,2025-01-10,24.0
2025-01-10,120,KIOSKAPI1  API,587.0,24.458333333333332,14.0,246.73,2025-01-10,2025-01-11,24.0
2025-01-10,122,WOLT  WOLT,40.0,1.6666666666666667,299.0,359.6,2025-01-10,2025-01-11,24.0
2025-01-11,132,KIOSKAPI1  API,470.0,19.583333333333332,10.0,238.48,2025-01-11,2025-01-12,24.0
2025-01-11,134,WOLT  WOLT,42.0,1.75,282.0,385.23,2025-01-11,2025-01-12,24.0
2025-01-12,145,KIOSKAPI1  API,361.0,15.041666666666666,13.0,279.45,2025-01-12,2025-01-13,24.0
2025-01-12,147,WOLT  WOLT,51.0,2.125,253.0,365.98,2025-01-12,2025-01-13,24.0
2025-01-13,156,DELIVERY_HERO  DELIVERY,18.0,0.75,154.0,399.75,2025-01-13,2025-01-14,24.0
2025-01-13,158,KIOSKAPI1  API,386.0,16.083333333333332,10.0,244.0,2025-01-13,2025-01-14,24.0
2025-01-13,160,WOLT  WOLT,42.0,1.75,249.0,324.96,2025-01-13,2025-01-14,24.0
2025-01-14,170,KIOSKAPI1  API,391.0,16.291666666666668,6.0,206.1,2025-01-14,2025-01-15,24.0
2025-01-14,172,WOLT  WOLT,46.0,1.9166666666666667,286.0,306.66,2025-01-14,2025-01-15,24.0
2025-01-15,183,KIOSKAPI1  API,389.0,16.208333333333332,12.0,223.87,2025-01-15,2025-01-16,24.0
2025-01-15,185,WOLT  WOLT,39.0,1.625,286.0,413.62,2025-01-15,2025-01-16,24.0
