datum,ID,zamestnanec,pocet_transakci,transakce_za_hod,SOS_sec,AGC,smena_zacatek,smena_konec,trvani_hodin
2025-01-01,2,#1,93.0,13.285714285714286,38.0,173.92,2025-01-01 15:00:00,2025-01-01 22:00:00,7.0
2025-01-01,6,#7,34.0,17.0,22.0,157.05,2025-01-01 22:00:00,2025-01-02 00:00:00,2.0
2025-01-01,1,#11,3.0,0.75,4.0,108.44,2025-01-01 15:00:00,2025-01-01 19:00:00,4.0
2025-01-01,3,#21,34.0,4.857142857142857,41.0,198.08,2025-01-01 08:00:00,2025-01-01 15:00:00,7.0
2025-01-01,4,#23,52.0,10.4,30.0,214.72,2025-01-01 03:00:00,2025-01-01 08:00:00,5.0
2025-01-01,5,#30,2.0,1.0,15.0,52.19,2025-01-01 00:00:00,2025-01-01 02:00:00,2.0
2025-01-02,17,#2,35.0,5.0,28.0,129.6,2025-01-02 15:00:00,2025-01-02 22:00:00,7.0
2025-01-02,18,#3,26.0,6.5,28.0,154.25,2025-01-02 00:00:00,2025-01-02 04:00:00,4.0
2025-01-02,19,#7,15.0,3.75,27.0,208.79,2025-01-02 03:00:00,2025-01-02 07:00:00,4.0
2025-01-02,14,#11,30.0,3.75,29.0,134.09,2025-01-02 14:00:00,2025-01-02 22:00:00,8.0
2025-01-02,15,#21,33.0,4.714285714285714,40.0,220.14,2025-01-02 08:00:00,2025-01-02 15:00:00,7.0
2025-01-02,16,#22,1.0,1.0,15.0,26.79,2025-01-02 23:00:00,2025-01-03 00:00:00,1.0
2025-01-03,31,#2,12.0,2.4,38.0,157.52,2025-01-03 15:00:00,2025-01-03 20:00:00,5.0
2025-01-03,32,#3,27.0,3.857142857142857,27.0,174.01,2025-01-03 00:00:00,2025-01-03 07:00:00,7.0
2025-01-03,27,#15,51.0,6.375,45.0,212.0,2025-01-03 14:00:00,2025-01-03 22:00:00,8.0
2025-01-03,28,#16,1.0,1.0,12.0,104.02,2025-01-03 07:00:00,2025-01-03 08:00:00,1.0
2025-01-03,29,#21,40.0,5.714285714285714,37.0,194.99,2025-01-03 08:00:00,2025-01-03 15:00:00,7.0
